id_date,date,pmi
20141031,2014-10-31,51.70000076293945
20141128,2014-11-28,51
20141231,2014-12-31,52.099998474121094
20150130,2015-01-30,51.5
20150227,2015-02-27,51.5
20150331,2015-03-31,51.70000076293945
20150427,2015-04-27,50.70000076293945
20150529,2015-05-29,53.5
20150630,2015-06-30,52.20000076293945
20150731,2015-07-31,52.599998474121094
20150831,2015-08-31,51.29999923706055
20150930,2015-09-30,49.5
20151030,2015-10-30,49.400001525878906
20151130,2015-11-30,50.099998474121094
20151231,2015-12-31,51.29999923706055
20160129,2016-01-29,51.5
20160229,2016-02-29,50.29999923706055
20160331,2016-03-31,50.70000076293945
20160429,2016-04-29,52.29999923706055
20160531,2016-05-31,52.70000076293945
20160630,2016-06-30,52.599998474121094
20160729,2016-07-29,51.900001525878906
20160831,2016-08-31,52.20000076293945
20160930,2016-09-30,52.900001525878906
20161031,2016-10-31,51.70000076293945
20161130,2016-11-30,54
20161231,2016-12-31,52.400001525878906
20170125,2017-01-25,51.900001525878906
20170228,2017-02-28,54.20000076293945
20170331,2017-03-31,54.599998474121094
20170428,2017-04-28,54.099998474121094
20170531,2017-05-31,51.599998474121094
20170630,2017-06-30,52.5
20170731,2017-07-31,51.70000076293945
20170831,2017-08-31,51.79999923706055
20170929,2017-09-29,53.29999923706055
20171031,2017-10-31,51.599998474121094
20171130,2017-11-30,51.400001525878906
20171229,2017-12-29,52.5
20180131,2018-01-31,53.400001525878906
20180228,2018-02-28,53.5
20180330,2018-03-30,51.599998474121094
20180427,2018-04-27,52.70000076293945
20180531,2018-05-31,53.900001525878906
20180629,2018-06-29,55.400001525878906
20180731,2018-07-31,54.900001525878906
20180831,2018-08-31,53.70000076293945
20180928,2018-09-28,51.5
20181031,2018-10-31,53.900001525878906
20181130,2018-11-30,56.5
20181228,2018-12-28,53.79999923706055
20190131,2019-01-31,51.900001525878906
20190228,2019-02-28,51.20000076293945
20190329,2019-03-29,51.900001525878906
20190426,2019-04-26,52.5
20190531,2019-05-31,52
20190628,2019-06-28,52.5
20190731,2019-07-31,52.599998474121094
20190830,2019-08-30,51.400001525878906
20190930,2019-09-30,50.5
20191031,2019-10-31,50
20191129,2019-11-29,51
20191231,2019-12-31,50.4
20200131,2020-01-31,50.599998474121094
20200228,2020-02-28,49
20200331,2020-03-31,41.900001525878906
20200429,2020-04-29,32.70000076293945
20200529,2020-05-29,42.70000076293945
20200630,2020-06-30,51.099998474121094
20200731,2020-07-31,47.599998474121094
20200831,2020-08-31,45.70000076293945
20200930,2020-09-30,52.20000076293945
20201030,2020-10-30,51.79999923706055
20201130,2020-11-30,49.900001525878906
20201231,2020-12-31,51.70000076293945
20210129,2021-01-29,51.29999923706055
20210226,2021-02-26,51.599998474121094
20210331,2021-03-31,53.599998474121094
20210429,2021-04-29,54.70000076293945
20210531,2021-05-31,53.099998474121094
20210630,2021-06-30,44.099998474121094
20210730,2021-07-30,45.099998474121094
20210831,2021-08-31,40.20000076293945
20210930,2021-09-30,40.20000076293945
20211029,2021-10-29,52.099998474121094
20211130,2021-11-30,52.20000076293945
20211231,2021-12-31,52.5
20220131,2022-01-31,53.70000076293945
20220228,2022-02-28,54.3
20220331,2022-03-31,51.7
20220430,2022-04-30,51.7
20220531,2022-05-31,54.7
20220630,2022-06-30,54
20220731,2022-07-31,51.2
20220831,2022-08-31,52.7
20220930,2022-09-30,52.5
20221031,2022-10-31,50.6
20221130,2022-11-30,47.4
20221231,2022-12-31,46.4
20230131,2023-01-31,47.4
20230228,2023-02-28,51.2
20230331,2023-03-31,47.7
20230430,2023-04-30,46.7
20230531,2023-05-31,45.3
20230630,2023-06-30,46.2
20230731,2023-07-31,48.7
20230831,2023-08-31,50.5
20230930,2023-09-30,49.7
20231031,2023-10-31,49.6
20231130,2023-11-30,47.3
20231231,2023-12-31,48.9
20240131,2024-01-31,50.3
20240229,2024-02-29,50.4
20240331,2024-03-31,49.9
20240430,2024-04-30,50.3
20240531,2024-05-31,50.3
