id_date,date,VN10YT=HN,VN15YT=HN,VN1YT=HN,VN20YT=HN,VN2YT=HN,VN3MT=HN,VN3YT=HN,VN5YT=HN,VN6MT=HN,VN7YT=HN,VN9MT=HN
20130319,2013-03-19,8.940360069274902,6.717440128326416,7.278719902038574,NULL,7.834310054779053,6.799729824066162,8.295599937438965,8.937959671020508,6.9653401374816895,9.211170196533203,NULL
20130320,2013-03-20,9.100379943847656,7.506959915161133,7.158929824829102,NULL,7.724689960479736,6.671209812164307,8.19653034210205,8.86970043182373,6.83991003036499,9.200460433959961,NULL
20130321,2013-03-21,9.623640060424805,NULL,7.094820022583008,NULL,7.650569915771484,6.602320194244385,8.106840133666992,8.781310081481934,6.774270057678223,9.222960472106934,NULL
20130322,2013-03-22,10.327509880065918,NULL,7.089389801025391,NULL,7.450479984283447,6.8183698654174805,7.811230182647705,8.531780242919922,6.9087300300598145,9.2510404586792,NULL
20130325,2013-03-25,9.568710327148438,NULL,7.014289855957031,NULL,7.518789768218994,6.596479892730713,7.964640140533447,8.686470031738281,6.7395501136779785,9.191720008850098,NULL
20130326,2013-03-26,9.452759742736816,NULL,6.90585994720459,NULL,7.416800022125244,6.48390007019043,7.869279861450195,8.6014404296875,6.628260135650635,9.107339859008789,NULL
20130327,2013-03-27,9.188989639282227,NULL,6.92540979385376,NULL,7.445300102233887,6.476039886474609,7.882160186767578,8.536820411682129,6.631770133972168,8.94381046295166,NULL
20130328,2013-03-28,8.889869689941406,NULL,6.875450134277344,NULL,7.389790058135986,6.517270088195801,7.897069931030273,8.735950469970703,6.6320600509643555,9.177579879760742,NULL
20130329,2013-03-29,8.85990047454834,NULL,6.913400173187256,NULL,7.409930229187012,6.452589988708496,7.791989803314209,8.294879913330078,6.615330219268799,8.573960304260254,NULL
20130402,2013-04-02,9.668049812316895,NULL,6.837230205535889,NULL,7.151370048522949,6.60168981552124,7.46560001373291,8.094369888305664,6.680200099945068,8.723549842834473,NULL
20130403,2013-04-03,8.937450408935547,NULL,6.845469951629639,NULL,7.355169773101807,6.417089939117432,7.794879913330078,8.465499877929688,6.564280033111572,8.85962963104248,NULL
20130404,2013-04-04,9.924169540405273,NULL,6.874169826507568,NULL,7.200019836425781,6.631939888000488,7.529139995574951,8.197190284729004,6.712480068206787,8.878250122070312,NULL
20130405,2013-04-05,8.820630073547363,NULL,6.812139987945557,NULL,7.337649822235107,6.366799831390381,7.785830020904541,8.45322036743164,6.520150184631348,8.820280075073242,NULL
20130408,2013-04-08,8.80383014678955,NULL,6.811920166015625,NULL,7.340250015258789,6.364059925079346,7.79049015045166,8.459010124206543,6.518280029296875,8.822070121765137,NULL
20130409,2013-04-09,9.73134994506836,NULL,6.92933988571167,NULL,7.241109848022461,6.6954498291015625,7.552760124206543,8.175749778747559,6.7734198570251465,8.798310279846191,NULL
20130410,2013-04-10,9.872739791870117,NULL,6.861259937286377,NULL,7.192130088806152,6.613709926605225,7.523940086364746,8.190360069274902,6.696169853210449,8.860509872436523,NULL
20130411,2013-04-11,9.036299705505371,NULL,6.821290016174316,NULL,7.375770092010498,6.333990097045898,7.81427001953125,8.375260353088379,6.5026397705078125,8.65254020690918,NULL
20130412,2013-04-12,8.971039772033691,NULL,6.799870014190674,NULL,7.287519931793213,6.392000198364258,7.711730003356934,8.37300968170166,6.531990051269531,8.790019989013672,NULL
20130415,2013-04-15,9.872610092163086,NULL,6.8654398918151855,NULL,7.199490070343018,6.614920139312744,7.533549785614014,8.201749801635742,6.69842004776001,8.870030403137207,NULL
20130416,2013-04-16,10.105389595031738,NULL,6.783400058746338,NULL,7.152649879455566,6.506440162658691,7.521870136260986,8.260199546813965,6.59876012802124,8.998390197753906,NULL
20130417,2013-04-17,9.399029731750488,NULL,6.777369976043701,NULL,7.256569862365723,6.385809898376465,7.687359809875488,8.406189918518066,6.519410133361816,8.938779830932617,NULL
20130423,2013-04-23,9.925470352172852,NULL,6.762310028076172,NULL,7.112800121307373,6.499599933624268,7.46353006362915,8.165730476379395,6.5871500968933105,8.868900299072266,NULL
20130424,2013-04-24,9.470720291137695,NULL,6.765979766845703,NULL,7.220739841461182,6.3938798904418945,7.630809783935547,8.327750205993652,6.520959854125977,8.877840042114258,NULL
20130502,2013-05-02,9.817429542541504,NULL,6.72367000579834,NULL,7.072010040283203,6.461659908294678,7.4191999435424805,8.110130310058594,6.549069881439209,8.796480178833008,NULL
